Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0163ud7I4Vb0ID5K7WBkq9,"Piercing Light","Warsongs","League of Legends,Mako",2016-01-14,291314,56,,2023-02-22T14:23:47Z,"speedrun,video game music,pop edm","Riot Games",0.274,0.609,2,-7.417,0,0.0453,0.246,0.00343,0.143,0.349,124.96,4
1Y3LN4zO1Edc2EluIoSPJN,"Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,78,,2023-02-22T12:34:22Z,"gen z singer-songwriter,alt z","Republic Records",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
3lGPy4laQ3s4lT1pRXKmFC,"Evangeline","Evangeline","Stephen Sanchez",2023-01-25,177880,54,,2023-02-22T12:29:03Z,"gen z singer-songwriter","Republic Records",0.455,0.563,3,-7.15,1,0.0306,0.0581,0,0.169,0.203,109.218,4
7lsYGc5H5DHktxO7gbB8bN,"Ordinary Life","Starboy","The Weeknd",2016-11-24,221920,59,,2023-02-21T13:08:06Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.544,0.586,7,-7.486,0,0.0794,0.0276,0,0.0962,0.361,149.882,4
6FZDfxM3a3UCqtzo5pxSLZ,"Without Me","Manic","Halsey",2020-01-17,201660,78,,2023-02-20T15:12:37Z,"electropop,etherpop,indie poptimism,pop","Capitol Records",0.752,0.488,6,-7.05,1,0.0705,0.293,0.0000092,0.0936,0.533,136.07,4
2UwaecVMeY5mmMdSKAiMsK,"Sooriya Paravaigaley","Vaathi","G. V. Prakash,Tippu,Ravi G",2023-02-04,174000,21,,2023-02-16T11:02:54Z,"kollywood,tamil pop,filmi","Aditya Music",0.585,0.531,9,-13.692,0,0.0386,0.632,0.0000155,0.631,0.216,108.978,4
7fRIo7WyDxXn3r233GCcdL,"Jimikki Ponnu","Varisu","Thaman S,Anirudh Ravichander,Jonita Gandhi",2022-12-24,224095,63,,2023-02-13T06:51:22Z,"new beat,tamil pop,desi hip hop,filmi,tamil hip hop,modern bollywood","T-Series",0.751,0.826,5,-7.805,0,0.205,0.588,0.0125,0.104,0.848,176.063,4
4gvrJnKCKIPiacNsWVQwEU,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix","love nwantiti (feat. Dj Yo! & AX'EL) [Remix]","CKay,Dj Yo!,AX'EL",2021-09-09,188368,69,,2023-02-13T01:55:21Z,"afro r&b,afrobeats","WM South Africa",0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,3
0o9zmvc5f3EFApU52PPIyW,"Shinunoga E-Wa","HELP EVER HURT NEVER","Fujii Kaze",2020-05-20,185573,75,,2023-02-12T11:45:12Z,"japanese teen pop","Universal Music LLC",0.6,0.76,6,-6.124,0,0.0452,0.166,0.0000409,0.189,0.519,158.078,4
0MU3DZ68Y09aNseo2e8JJJ,"Open the Tasmac","Maan Karate (Original Motion Picture Soundtrack)","Anirudh Ravichander,Deva",2014-03-16,246076,46,,2023-02-10T12:20:21Z,"desi hip hop,filmi,tamil hip hop,kollywood,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.844,0.875,4,-4.526,0,0.136,0.617,0.00000459,0.0843,0.953,120.003,4
